"max.pop","max.pop.time","max.I","max.I.time","last.I.time","max.prev","total.I","max.inc","time.max.inc","max.spread","max.number.I.cells","max.spread.area","final.avg.prion.density","final.I","final.pop","final.prev","final.spread","final.number.I.cells","final.spread.area","final.max.sp.cent","final.E","final.I.cells","final.E.cells","final.surv.prev","final.prions.area","final.prop.inf.cells","final.prop.ID50.cells","prop.ID50.infcells","prions.gamma.shape","prions.gamma.rate","final.SS.S.prop","final.SS.E.prop","final.SS.I.prop","spread.area.rate","spread.dist.rate","spread.distcent.rate","mean.E.dist","std.E.dist","mean.I.dist","std.I.dist","mean.prev.rate","mean.inf.fams.prev","mean.chull.fams.prev","mean.inf.fams.prev.I","mean.chull.fams.prev.I"
102250,210,35,215,240,0.000667184239895191,262,13,203,5,7,7.5,7.79592332718153e-06,27,82170,0.000401606425702811,5,4,3,7.81024967590665,6,5,4,0.000421052631578947,30.5,6.63900414937759e-06,0,0,0.111830356070599,22.7491866304179,0.957110609480813,0.0090293453724605,0.0338600451467269,0.00116108786610879,0.0209205020920502,0.0326788689368479,7.23516467756549,0.450765406109186,7.31128636322518,0.425869279999088,1.59637051821929e-06,0.814285714285714,0.135802469135802,0.651465201465201,0.111111111111111
102223,54,1,1,3,1.0203873390339e-05,2,1,1,0,1,2.7225,5.20896918172009e-13,0,81842,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.19879620512799e-08,NA,NA,NA,NA
102029,186,87,47,240,0.00146505835815793,569,33,42,12.6491106406735,14,41.5,5.1048723408647e-06,10,81763,0.000232378948913323,1,2,5.445,3.16227766016838,9,2,2,0,56.5,1.07883817427386e-05,0,0,0.235361341405294,121.305559540148,1,0,0,0.0113912133891213,0.00418410041841004,0.0132312872810392,2.69917281883408,0.6549291474156,2.69917281883408,0.6549291474156,8.88177427976832e-07,NA,NA,NA,NA
102130,42,93,227,240,0.00145724397203071,1345,26,102,20.0249843945008,14,80,3.75774904215572e-05,28,81557,0.000600806797699768,15.6524758424985,6,17,16.2788205960997,21,6,6,0.00105263157894737,108,2.32365145228216e-05,0,0,0.119831654136306,17.9525901138997,0.764127764127764,0.0417690417690418,0.194103194103194,0.0597384937238494,0.0654915307217512,0.0681122200673628,11.7462206970332,6.01926566982268,11.7083680044529,5.99140571208151,2.38693224855801e-06,0.65964590964591,0.110609480812641,0.384981684981685,0.0632054176072235
102222,186,69,237,240,0.000970430414430871,243,31,234,4.47213595499958,6,5.445,7.28581828822363e-06,61,81833,0.000965380714381729,4.47213595499958,6,3,4.24264068711928,18,10,8,0.000263157894736842,7,4.149377593361e-06,0,0,0.190965956662948,24.7868260696586,0.934545454545455,0.0327272727272727,0.0327272727272727,0.00116108786610879,0.0187118659205003,0.0177516346741393,2.63238710003659,1.10610676599682,2.56355880228342,1.06883439484079,3.91307070686795e-06,0.902673796791444,0.336170212765957,0.715643425202249,0.259574468085106
102114,90,61,203,228,0.000953288846520496,775,29,198,8.06225774829855,10,14,2.2435893800593e-05,0,82117,1.21777463862538e-05,0,1,2.7225,3.16227766016838,1,0,1,0.000421052631578947,57.5,1.6597510373444e-05,0,0,0.0779824266995263,14.0787325282575,0.882736156351791,0.0488599348534202,0.0684039087947883,1.84699110101519e-18,1.8488056653206e-18,0.0132312872810392,NA,NA,NA,NA,-7.60226998215437e-08,NA,NA,NA,NA
102205,114,1,1,1,1.00817630987307e-05,1,1,1,0,1,2.7225,3.07475095198536e-16,0,82002,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.21831091997101e-08,NA,NA,NA,NA
102188,150,177,204,240,0.00304410296373865,2675,56,174,32.2490309931942,34,327.5,9.98295442047644e-05,97,81801,0.00158922262564027,16.7630546142402,16,147.5,14.560219778561,33,18,15,0.00105263157894737,411,5.31120331950207e-05,0,0,0.0835252434823679,10.7762146877179,0.794416243654822,0.050761421319797,0.154822335025381,0.594372384937239,0.0659542034068628,0.0567373212492094,9.48748577370047,1.64347639835864,9.584511803522,2.81245551898583,6.56480465394015e-06,0.709157415880105,0.0938628158844765,0.557243503461991,0.0700361010830325
102162,126,50,35,240,0.00100239597085717,614,13,19,9.21954445729289,12,19,1.07053021118877e-05,12,81864,0.000232092250561908,1,2,5.445,6.08276253029822,7,2,3,0,48.5,1.41078838174274e-05,0,0,0.0997930774176393,31.3164860970899,1,0,0,0.0113912133891213,0.00418410041841004,0.0254508892481097,5.4269338524946,0.567964295508297,5.09901951359278,0,9.28939674866985e-07,NA,NA,NA,NA
102332,42,45,12,84,0.000712600747002162,244,18,8,3.60555127546399,6,5.445,1.94240310760486e-06,0,82391,0,0,0,0,0,0,0,0,0,7,4.149377593361e-06,0,0,0.390666630820797,203.420211209098,1,0,0,-0.0113912133891213,9.40384664722638e-19,0,NA,NA,NA,NA,-2.12546247938089e-07,NA,NA,NA,NA
