"max.pop","max.pop.time","max.I","max.I.time","last.I.time","max.prev","total.I","max.inc","time.max.inc","max.spread","max.number.I.cells","max.spread.area","final.avg.prion.density","final.I","final.pop","final.prev","final.spread","final.number.I.cells","final.spread.area","final.max.sp.cent","final.E","final.I.cells","final.E.cells","final.surv.prev","final.prions.area","final.prop.inf.cells","final.prop.ID50.cells","prop.ID50.infcells","prions.gamma.shape","prions.gamma.rate","final.SS.S.prop","final.SS.E.prop","final.SS.I.prop","spread.area.rate","spread.dist.rate","spread.distcent.rate","mean.E.dist","std.E.dist","mean.I.dist","std.I.dist","mean.prev.rate","mean.inf.fams.prev","mean.chull.fams.prev","mean.inf.fams.prev.I","mean.chull.fams.prev.I"
102342,138,0,1,-Inf,0,1,1,1,0,0,0,9.6257920990693e-12,0,82036,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
102282,222,134,57,240,0.0019599946301517,914,28,54,14,25,57.5,1.33159040514135e-05,13,82264,0.000182339784109696,1,2,5.445,8,2,2,2,0,80.5,2.36514522821577e-05,0,0,NA,NA,1,0,0,0.0113912133891213,0.00418410041841004,0.0334728033472803,7.5,0.707106781186548,7.5,0.707106781186548,7.20250048826971e-07,NA,NA,NA,NA
102098,54,89,190,216,0.00156613238712835,700,41,186,16.2788205960997,18,58,3.22318517377753e-05,0,81690,0,0,0,0,0,0,0,0,0,104,1.45228215767635e-05,0,0,NA,NA,1,0,0,-0.0113912133891213,-3.75054498058829e-18,0,NA,NA,NA,NA,-4.23968265805715e-08,NA,NA,NA,NA
102290,210,159,59,240,0.00254919142834382,2004,58,54,19.6977156035922,24,93,4.18739321986585e-05,13,82162,0.000219079379761934,8.24621125123532,5,4,10.770329614269,5,5,2,0.000157894736842105,188,3.85892116182573e-05,0,0,NA,NA,0.979539641943734,0.0051150895140665,0.0153452685421995,0.00534518828451883,0.0345029759465913,0.045064140645477,6.26957791367234,0.620310864634908,7.20743299987666,2.01646644910378,8.74796982931757e-07,0.658333333333333,0.00821542674577818,0.533333333333333,0.0059333637608398
102099,90,1,1,6,1.05269806514096e-05,1,1,1,0,1,2.7225,4.97483783805634e-14,0,82200,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.26192313485245e-08,NA,NA,NA,NA
102376,198,112,58,240,0.00150855251952602,1036,47,54,17.0293863659264,12,68,2.1268411839833e-05,1,82207,3.64932426678993e-05,0,1,2.7225,11.4017542509914,2,1,1,0,90,1.86721991701245e-05,0,0,NA,NA,1,0,0,0,0,0.0477060847321815,NA,NA,NA,NA,6.79861441547418e-08,NA,NA,NA,NA
102121,174,0,1,-Inf,0,1,1,1,0,0,0,3.59076875472098e-11,0,82038,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA
102134,54,121,108,240,0.00218788960324639,837,34,102,32.7566787083184,23,231.5,1.2643581656786e-05,5,81983,0.000170767110254565,0,1,2.7225,1.4142135623731,9,2,3,0,300.5,2.0746887966805e-05,0,0,NA,NA,1,0,0,-2.22003135677181e-17,-6.33536526053461e-18,0.00591721155804643,1.4142135623731,0,1.4142135623731,0,5.43641696031386e-07,NA,NA,NA,NA
102192,54,158,108,240,0.00289696305763496,1734,58,42,18.4390889145858,30,127.5,3.56712370536805e-05,6,82000,7.31707317073171e-05,1,2,5.445,10.0498756211209,0,2,0,0.000736842105263158,200,3.3195020746888e-05,0,0,NA,NA,0.953846153846154,0.00879120879120879,0.0373626373626374,0.0113912133891213,0.00418410041841005,0.0420496887913008,NA,NA,10.0249378105604,0.0352673899104723,2.63286882279393e-07,NA,NA,NA,NA
102235,54,1,1,10,1.08391684189989e-05,1,1,1,0,1,2.7225,2.68485941309437e-10,0,81779,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.18192581698521e-08,NA,NA,NA,NA
