"giver","receiver","yearmonth","direct.cont","indirect.cont","hr.diff.m"
"D1021","D1082","Apr 2021",0,1505,287.895233464421
"D1021","D1084","Apr 2021",0,552,475.933810040293
"D1021","D1085","Apr 2021",0,325,916.275513607613
"D1021","D1086","Apr 2021",0,2,1083.25724014544
"D1021","D1087","Apr 2021",0,8,1067.6287273799
"D1021","D1088","Apr 2021",0,21,803.845425377898
"D1035","D1021","Apr 2021",0,643,482.248568173583
"D1035","D1041","Apr 2021",0,0,1866.97557850767
"D1035","D1042","Apr 2021",0,10,789.337172996624
"D1035","D1074","Apr 2021",0,4,685.601136462064
"D1035","D1076","Apr 2021",0,157,806.573383544765
"D1035","D1077","Apr 2021",0,9,867.146258113327
"D1035","D1078","Apr 2021",0,15,1195.73375148324
"D1035","D1079","Apr 2021",0,1,1373.30916536565
"D1035","D1080","Apr 2021",0,19,806.027456212959
"D1035","D1081","Apr 2021",0,7,804.566469671149
"D1035","D1082","Apr 2021",0,79,612.527369876577
"D1035","D1084","Apr 2021",93,6489,8.83825000207036
"D1035","D1085","Apr 2021",0,198,672.334080645689
"D1035","D1086","Apr 2021",3,764,694.232992810453
"D1035","D1087","Apr 2021",0,86,758.461972172991
"D1035","D1088","Apr 2021",0,808,356.355311241082
"D1041","D1021","Apr 2021",0,0,1414.06352323091
"D1041","D1035","Apr 2021",0,0,1866.97557850767
"D1041","D1042","Apr 2021",0,0,2248.04519717252
"D1041","D1074","Apr 2021",0,0,1272.86601375714
"D1041","D1076","Apr 2021",0,1,1074.02160604092
"D1041","D1077","Apr 2021",0,0,2208.42874799032
"D1041","D1078","Apr 2021",0,0,2455.10757101552
"D1041","D1079","Apr 2021",0,0,2797.60404067897
"D1041","D1080","Apr 2021",0,0,2242.89279173856
"D1041","D1081","Apr 2021",0,0,1726.20435848159
"D1041","D1082","Apr 2021",0,0,1494.94248410125
"D1041","D1084","Apr 2021",0,1,1859.08133209647
"D1041","D1085","Apr 2021",0,17,2288.64994694187
"D1041","D1086","Apr 2021",0,0,2495.3386331304
"D1041","D1087","Apr 2021",0,0,2457.82817488625
"D1041","D1088","Apr 2021",0,0,2211.5202057682
"D1042","D1021","Apr 2021",0,0,1141.87013023678
"D1042","D1035","Apr 2021",0,27,789.337172996624
"D1042","D1041","Apr 2021",0,0,2248.04519717252
"D1042","D1074","Apr 2021",0,0,1352.61852531403
"D1042","D1076","Apr 2021",0,0,1229.14140930444
"D1042","D1077","Apr 2021",31,4235,131.060855182883
"D1042","D1078","Apr 2021",0,455,412.81619859008
"D1042","D1079","Apr 2021",0,49,611.000515786387
"D1042","D1080","Apr 2021",157,9005,25.6195938213991
"D1042","D1081","Apr 2021",0,0,1592.99490929458
"D1042","D1082","Apr 2021",0,0,1364.85395812621
"D1042","D1084","Apr 2021",0,0,788.161857739165
"D1042","D1085","Apr 2021",0,0,1326.19897745114
"D1042","D1086","Apr 2021",0,0,1143.5942494983
"D1042","D1087","Apr 2021",0,0,1319.38027501047
"D1042","D1088","Apr 2021",0,0,851.347758623783
"D1074","D1021","Apr 2021",3,2206,214.509509353479
"D1074","D1035","Apr 2021",0,43,685.601136462064
"D1074","D1041","Apr 2021",0,0,1272.86601375714
"D1074","D1042","Apr 2021",0,0,1352.61852531403
"D1074","D1076","Apr 2021",6,904,429.140094552154
"D1074","D1077","Apr 2021",0,0,1383.34533440426
"D1074","D1078","Apr 2021",0,0,1709.60554396814
"D1074","D1079","Apr 2021",0,0,1963.56306734148
"D1074","D1080","Apr 2021",0,0,1360.81543867218
"D1074","D1081","Apr 2021",0,233,560.215663767799
"D1074","D1082","Apr 2021",3,2098,242.089032591777
"D1074","D1084","Apr 2021",0,39,680.054227251903
"D1074","D1085","Apr 2021",1,436,1017.21400980357
"D1074","D1086","Apr 2021",0,0,1231.94209706634
"D1074","D1087","Apr 2021",0,0,1184.96216308775
"D1074","D1088","Apr 2021",0,2,984.718721903442
"D1076","D1021","Apr 2021",1,486,424.279718662507
"D1076","D1035","Apr 2021",0,202,806.573383544765
"D1076","D1041","Apr 2021",0,6,1074.02160604092
"D1076","D1042","Apr 2021",0,0,1229.14140930444
"D1076","D1074","Apr 2021",6,749,429.140094552154
"D1076","D1077","Apr 2021",0,0,1219.05704082727
"D1076","D1078","Apr 2021",0,0,1515.67141009735
"D1076","D1079","Apr 2021",0,0,1821.35639628193
"D1076","D1080","Apr 2021",0,0,1229.32137357442
"D1076","D1081","Apr 2021",0,23,985.203735270008
"D1076","D1082","Apr 2021",0,11,653.001694487988
"D1076","D1084","Apr 2021",0,200,798.206473215593
"D1076","D1085","Apr 2021",1,100,1336.97987448867
"D1076","D1086","Apr 2021",0,13,1474.8633104086
"D1076","D1087","Apr 2021",0,0,1481.29759513046
"D1076","D1088","Apr 2021",0,20,1160.42213276257
"D1077","D1021","Apr 2021",0,0,1177.6846620082
"D1077","D1035","Apr 2021",0,16,867.146258113327
"D1077","D1041","Apr 2021",0,0,2208.42874799032
"D1077","D1042","Apr 2021",31,4696,131.060855182883
"D1077","D1074","Apr 2021",0,0,1383.34533440426
"D1077","D1076","Apr 2021",0,0,1219.05704082727
"D1077","D1078","Apr 2021",1,1716,332.972345530914
"D1077","D1079","Apr 2021",0,134,602.371994850836
"D1077","D1080","Apr 2021",39,4705,105.697070385074
"D1077","D1081","Apr 2021",0,0,1663.77585958483
"D1077","D1082","Apr 2021",0,0,1417.28639355218
"D1077","D1084","Apr 2021",0,0,864.860771948344
"D1077","D1085","Apr 2021",0,0,1436.12290354438
"D1077","D1086","Apr 2021",0,0,1267.04451582649
"D1077","D1087","Apr 2021",0,0,1437.86862820634
"D1077","D1088","Apr 2021",0,0,964.345673535044
"D1078","D1021","Apr 2021",0,0,1506.63597039839
"D1078","D1035","Apr 2021",0,2,1195.73375148324
"D1078","D1041","Apr 2021",0,0,2455.10757101552
"D1078","D1042","Apr 2021",0,305,412.81619859008
"D1078","D1074","Apr 2021",0,0,1709.60554396814
"D1078","D1076","Apr 2021",0,0,1515.67141009735
"D1078","D1077","Apr 2021",1,938,332.972345530914
"D1078","D1079","Apr 2021",7,3046,362.771785588464
"D1078","D1080","Apr 2021",0,227,392.821084278517
"D1078","D1081","Apr 2021",0,0,1995.43955576228
"D1078","D1082","Apr 2021",0,0,1749.88713172264
"D1078","D1084","Apr 2021",0,0,1193.89155946527
"D1078","D1085","Apr 2021",0,1,1733.89710627858
"D1078","D1086","Apr 2021",0,0,1529.63823436713
"D1078","D1087","Apr 2021",0,0,1716.13043620313
"D1078","D1088","Apr 2021",0,3,1257.82803059813
"D1079","D1021","Apr 2021",0,0,1752.40273097155
"D1079","D1035","Apr 2021",0,1,1373.30916536565
"D1079","D1041","Apr 2021",0,0,2797.60404067897
"D1079","D1042","Apr 2021",0,85,611.000515786387
"D1079","D1074","Apr 2021",0,0,1963.56306734148
"D1079","D1076","Apr 2021",0,0,1821.35639628193
"D1079","D1077","Apr 2021",0,245,602.371994850836
"D1079","D1078","Apr 2021",7,1776,362.771785588464
"D1079","D1080","Apr 2021",0,48,603.915530749758
"D1079","D1081","Apr 2021",0,0,2175.06442557872
"D1079","D1082","Apr 2021",0,0,1967.88096421037
"D1079","D1084","Apr 2021",0,1,1373.63714311728
"D1079","D1085","Apr 2021",0,1,1807.46709602206
"D1079","D1086","Apr 2021",0,11,1547.01712221154
"D1079","D1087","Apr 2021",0,2,1752.58949546457
"D1079","D1088","Apr 2021",0,8,1342.21573301811
"D1080","D1021","Apr 2021",0,0,1150.88031774797
"D1080","D1035","Apr 2021",0,42,806.027456212959
"D1080","D1041","Apr 2021",0,0,2242.89279173856
"D1080","D1042","Apr 2021",157,8459,25.6195938213991
"D1080","D1074","Apr 2021",0,0,1360.81543867218
"D1080","D1076","Apr 2021",0,0,1229.32137357442
"D1080","D1077","Apr 2021",39,3631,105.697070385074
"D1080","D1078","Apr 2021",0,468,392.821084278517
"D1080","D1079","Apr 2021",0,64,603.915530749758
"D1080","D1081","Apr 2021",0,0,1608.89352753961
"D1080","D1082","Apr 2021",0,0,1377.20629584699
