"max.pop","max.pop.time","max.I","max.I.time","last.I.time","max.prev","total.I","max.inc","time.max.inc","max.spread","max.number.I.cells","max.spread.area","final.avg.prion.density","final.I","final.pop","final.prev","final.spread","final.number.I.cells","final.spread.area","final.max.sp.cent","final.E","final.I.cells","final.E.cells","final.surv.prev","final.prions.area","final.prop.inf.cells","final.prop.ID50.cells","prop.ID50.infcells","prions.gamma.shape","prions.gamma.rate","final.SS.S.prop","final.SS.E.prop","final.SS.I.prop","spread.area.rate","spread.dist.rate","spread.distcent.rate","mean.E.dist","std.E.dist","mean.I.dist","std.I.dist","mean.prev.rate","mean.inf.fams.prev","mean.chull.fams.prev","mean.inf.fams.prev.I","mean.chull.fams.prev.I"
102437,174,42,237,240,0.000648877442025296,186,15,234,4.47213595499958,8,5.445,4.66526362345371e-06,37,81983,0.00057328958442604,2,3,0,2.82842712474619,10,5,4,0.000210526315789474,8.5,4.5643153526971e-06,0,0,0.0392211319845144,7.95294981427569,1,0,0,-0.0113912133891213,0.00836820083682008,0.0118344231160928,2.32514076993644,0.353497571852798,2.26011261594915,0.338915482140224,2.35716547340051e-06,NA,NA,NA,NA
102360,234,39,21,97,0.000553457881855191,214,18,18,10.295630140987,8,13,2.31444910056622e-06,0,82450,0,0,0,0,0,0,0,0,0,20,4.5643153526971e-06,0,0,0.121981313904088,58.7585206311191,1,0,0,-0.0113912133891213,0,9.4683813610173e-19,NA,NA,NA,NA,-8.4641846912185e-08,NA,NA,NA,NA
102415,42,1169,238,240,0.0168529706724066,5858,387,234,34.5253530032641,157,495.5,0.000552412151308635,1108,81766,0.0168529706724066,30.0166620396073,157,493.5,18.4390889145858,270,200,128,0.0102631578947368,507.5,8.92116182572614e-05,0,0,0.184447698739896,7.07268964847306,0.91304347826087,0.0326086956521739,0.0543478260869565,2.05346234309623,0.125592728199194,0.0771509996426183,8.93049048336846,3.40857127687078,8.25308688036877,3.3085175512637,7.03872950654583e-05,0.885374495981576,0.304867256637168,0.739491226945491,0.245132743362832
102359,198,60,24,48,0.00104633054311855,185,19,21,5.8309518948453,8,5.445,1.06712262971715e-06,0,82258,0,0,0,0,0,0,0,0,0,5,3.7344398340249e-06,0,0,0.12759367154774,108.965304483972,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-8.48934377245296e-08,NA,NA,NA,NA
102137,102,1132,239,240,0.0180410792803165,5965,383,234,47.5078940808788,154,926.5,0.000473810612163105,1115,81647,0.0180410792803165,47.5078940808788,154,926.5,40.3112887414927,358,190,138,0.00884210526315789,852.5,9.70954356846473e-05,0,0,0.0754721198064824,3.60373820202234,0.801916932907348,0.0670926517571885,0.130990415335463,3.86517782426778,0.198777799501585,0.168666480089928,21.59595501864,10.7990376372181,21.6632747328328,10.5848749761966,7.54004914251149e-05,0.795857222249305,0.179677970236643,0.644088736513597,0.13600878262991
102309,138,1216,238,240,0.0186274509803922,6353,390,234,37.8021163428716,177,686,0.000468038659116981,1174,81600,0.0186274509803922,37.8021163428716,177,686,26.5706605111728,346,209,148,0.0106315789473684,672.5,0.000103319502074689,0,0,0.138012699777442,7.0742004329249,0.873873873873874,0.033033033033033,0.0930930930930931,2.85890167364017,0.158167850806994,0.111174311762229,12.5922855130313,5.94720716631815,12.2506829123678,6.17160080442511,7.789721570482e-05,0.804478389833683,0.262340352088367,0.648586126631911,0.202623403520884
102202,150,751,237,240,0.0105595378196213,3064,247,234,26.9072480941474,94,284.5,0.000274846308396659,682,81868,0.0104192114134949,26.9072480941474,93,284.5,19.1049731745428,171,128,82,0.00742105263157895,282,5.06224066390042e-05,0,0,0.097858727752385,4.19869183913459,1,0,0,1.17898535564854,0.112582628008985,0.0799371262533172,7.84538283846116,4.20889326773544,7.66431289013947,4.16496770886837,4.35111006009984e-05,0.863866077072856,0.287592717464599,0.702450909142173,0.22993931220499
102102,222,475,237,240,0.00671051029107295,1994,133,234,26,57,198,0.000151066337023679,448,82110,0.00671051029107295,26,57,198,20.8086520466848,103,70,48,0.00315789473684211,230.5,3.07053941908714e-05,0,0,0.110247112431431,5.1673544230403,0.9,0.0148148148148148,0.0851851851851852,0.817060669456067,0.108786610878661,0.0870654897350829,7.19572550166584,4.0962714136318,7.49578235293831,4.23225585548961,2.80350310291698e-05,0.865561337244827,0.241985068072025,0.728391678616985,0.196750109793588
102328,162,76,47,215,0.00102740898868709,323,23,59,6.70820393249937,13,14.5,3.10902037624681e-06,0,82155,0,0,0,0,0,0,0,0,0,19.5,7.46887966804979e-06,0,0,0.172243245191984,100.949472969457,1,0,0,-0.0113912133891213,0,-9.42821799208154e-19,NA,NA,NA,NA,-8.46872459779595e-08,NA,NA,NA,NA
102371,162,2,11,12,2.30311265675561e-05,2,1,1,0,1,2.7225,4.59258259973839e-12,0,82295,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.21363802093681e-08,NA,NA,NA,NA
102232,162,1,1,8,1.04959328260299e-05,1,1,1,0,1,2.7225,4.72917325221741e-12,0,81868,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.24665362632582e-08,NA,NA,NA,NA
102730,162,270,240,240,0.00435623805989219,1833,64,234,34.7850542618522,40,155.5,0.000104000939105068,270,82181,0.00435623805989219,34.7850542618522,40,155.5,23.0867927612304,88,48,36,0.00284210526315789,209.5,3.48547717842324e-05,0,0,0.136156884340384,10.8393508667945,0.935114503816794,0.0190839694656489,0.0458015267175573,0.63923640167364,0.145544160091432,0.09659745925201,9.97077686739216,6.42541807819179,8.71050038230386,5.66081113711584,1.81846174217422e-05,0.820917601652458,0.19247311827957,0.661698694403584,0.145161290322581
102302,186,1,1,7,1.0443537017117e-05,1,1,1,0,1,2.7225,6.14408558263315e-10,0,82132,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.22815782292492e-08,NA,NA,NA,NA
102246,210,58,240,240,0.000994365263506795,184,24,237,4.24264068711928,6,6,9.71324329287396e-06,58,81993,0.000987889210054517,4.24264068711928,6,6,5,23,9,8,0.000210526315789474,7.5,3.3195020746888e-06,0,0,0.0856072451083789,7.05393508009828,1,0,0,0.0137133891213389,0.0177516346741393,0.0209205020920502,3.58373499457484,1.37605792596497,2.85220888406653,1.57258307947735,4.09169349240946e-06,0.732333864965444,0.325301204819277,0.557545015371102,0.232931726907631
102288,198,44,239,240,0.000709688471233145,314,16,18,9.48683298050514,9,16,9.45467660353961e-06,42,81726,0.000709688471233145,5,7,9.5,2.82842712474619,16,7,5,0.000315789473684211,28,6.22406639004149e-06,0,0,0.106926001577521,15.5682820629815,1,0,0,0.0283577405857741,0.0209205020920502,0.0118344231160928,2.06011261594915,0.667023246977883,1.93380443674937,0.685906067774502,2.92713095062281e-06,0.860119047619048,0.135514018691589,0.654383116883117,0.0981308411214953
