"max.pop","max.pop.time","max.I","max.I.time","last.I.time","max.prev","total.I","max.inc","time.max.inc","max.spread","max.number.I.cells","max.spread.area","final.avg.prion.density","final.I","final.pop","final.prev","final.spread","final.number.I.cells","final.spread.area","final.max.sp.cent","final.E","final.I.cells","final.E.cells","final.surv.prev","final.prions.area","final.prop.inf.cells","final.prop.ID50.cells","prop.ID50.infcells","prions.gamma.shape","prions.gamma.rate","final.SS.S.prop","final.SS.E.prop","final.SS.I.prop","spread.area.rate","spread.dist.rate","spread.distcent.rate","mean.E.dist","std.E.dist","mean.I.dist","std.I.dist","mean.prev.rate","mean.inf.fams.prev","mean.chull.fams.prev","mean.inf.fams.prev.I","mean.chull.fams.prev.I"
102286,222,302,239,240,0.00498179027759169,1387,88,234,39.3954312071844,46,207,9.69587125985762e-05,295,82099,0.00498179027759169,39.3954312071844,46,207,32.7566787083184,114,50,42,0.00205263157894737,155.5,2.86307053941909e-05,0,0,0.107863176929381,7.48691839283468,0.911167512690355,0.0228426395939086,0.065989847715736,0.854717573221757,0.164834440197424,0.137057233089198,11.6048061620849,4.96277829716259,10.8392276869263,3.52123922281002,2.07602496608649e-05,0.813557202493928,0.135206611570248,0.63353719424526,0.0975206611570248
102082,42,1289,238,240,0.0189670566150042,6739,435,234,37.6563407675255,183,495.5,0.000609585356796967,1244,81546,0.0188973094940279,37.6563407675255,183,495.5,23.0867927612304,297,225,147,0.0133684210526316,572,0.000104149377593361,0,0,0.109679718456179,4.43111313461083,0.864583333333333,0.0520833333333333,0.0833333333333333,2.06183054393305,0.157557911161194,0.09659745925201,10.7881135589191,4.5927586380369,10.3755297767393,4.02524728427331,7.90264430260383e-05,0.880128868228464,0.364992894362861,0.738336434910267,0.294647086688773
102424,66,518,237,240,0.00723894626333651,2942,170,222,38.6393581727233,82,633.5,0.000306518355810136,471,81918,0.00723894626333651,38.6393581727233,82,633.5,37.8549864614954,122,91,68,0.00515789473684211,620,3.94190871369295e-05,0,0,0.120740322803125,3.74189042651342,1,0,0,2.63923640167364,0.161670954697587,0.158389064692449,28.7107256585497,3.96854758733245,27.4145702131171,6.60653039107388,3.02459087232371e-05,0.821255963987185,0.0967058056099152,0.666690141460198,0.0768101761252446
102371,138,1189,238,240,0.0169516813956157,6378,367,234,31.2569992161756,170,401,0.000589486243187081,1089,81378,0.0169456118361228,31.2569992161756,170,401,23.7697286480094,290,210,138,0.013,386,9.25311203319502e-05,0,0,0.167552591649897,6.09970714685957,0.955414012738854,0.0148619957537155,0.029723991507431,1.66643305439331,0.130782423498643,0.0994549315816294,10.9622596392679,5.0337424780767,11.071455013711,4.85621272022345,7.08599665433104e-05,0.867757076116209,0.391538898353208,0.716603682838203,0.309199318568995
102168,138,618,239,240,0.0101118787063642,2447,194,234,29.2061637330205,76,325,0.000206604144148396,610,81785,0.0101118787063642,28.4253408071038,74,323.5,21.4709105535839,217,109,75,0.00405263157894737,322,3.81742738589212e-05,0,0,0.0975499272630157,4.16350238244737,1,0,0,1.34216527196653,0.118934480364451,0.0898364458308949,7.96934058754543,4.87092975610264,7.42541420007356,4.8611188044549,4.21813649363956e-05,0.86082633159861,0.224484256243214,0.684215433149308,0.165580890336591
102250,138,1,1,3,1.02963283293178e-05,1,1,1,0,1,2.7225,6.37513377663139e-08,0,82006,0,0,0,0,0,0,0,0,0,0,4.149377593361e-07,0,0,NA,NA,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.23504804640833e-08,NA,NA,NA,NA
102284,90,182,240,240,0.00303943947365209,713,56,234,13.1529464379659,33,51.5,6.67829635230502e-05,182,81923,0.00303943947365209,13.1529464379659,33,51.5,10.4403065089106,67,34,28,0.00157894736842105,43.5,1.41078838174274e-05,0,0,0.094541488667472,4.84339145345014,1,0,0,0.204089958158996,0.055033248694418,0.0436832908322617,3.62781772490889,1.42061905566282,3.56703714777795,1.89410859770462,1.26748266974695e-05,0.740017511728038,0.239884393063584,0.568182402392929,0.175337186897881
102325,150,184,239,240,0.00269072491294714,957,72,234,8.94427190999916,23,36,8.35335007198407e-05,181,82134,0.00269072491294714,7.07106781186548,23,30.5,6.70820393249937,40,31,23,0.00205263157894737,33,1.16182572614108e-05,0,0,0.120582917143315,4.04954367337572,0.96031746031746,0,0.0396825396825397,0.116223849372385,0.0295860577902321,0.0280677988807505,3.40758279302264,1.91800948784278,3.38325906380273,1.7996323821186,1.12158091935591e-05,0.883732986843035,0.420952380952381,0.738991816264544,0.344761904761905
102211,162,40,72,84,0.000694969396961643,139,15,66,2.23606797749979,4,5.445,1.89521732711709e-06,0,82190,0,0,0,0,0,0,0,0,0,3,2.9045643153527e-06,0,0,0.207303335863631,77.574453167873,1,0,0,-0.0113912133891213,0,0,NA,NA,NA,NA,-4.28378407380754e-08,NA,NA,NA,NA
102290,42,121,238,240,0.00167491678757361,798,39,234,18.0277563773199,14,63,3.83323949008111e-05,105,82216,0.00162985306996205,18.0277563773199,13,57,11.4017542509914,29,17,12,0.000894736842105263,67.5,1.70124481327801e-05,0,0,0.15646201235585,16.6980037120145,0.993333333333333,0.00444444444444444,0.00222222222222222,0.227102510460251,0.0754299430013387,0.0477060847321815,7.43616644268439,3.67350642055362,6.37714311240141,3.55004205351122,6.65039556368752e-06,0.886111111111111,0.184065934065934,0.729383116883117,0.144230769230769
